Quarter,Interest Rate
197503,10.0
197506,10.0
197509,11.0
197512,11.25
197603,9.0
197606,11.5
197609,13.0
197612,14.25
197703,9.5
197706,8.0
197709,6.0
197712,7.0
197803,6.5
197806,10.0
197809,10.0
197812,12.5
197903,13.0
197906,14.0
197909,14.0
197912,17.0
198003,17.0
198006,17.0
198009,16.0
198012,14.0
198103,12.0
198106,12.0
198109,14.0
198112,14.38
198203,13.25
198206,12.63
198209,10.13
198212,10.0
198303,10.56
198306,9.56
198309,9.56
198312,9.06
198403,8.56
198406,8.88
198409,10.5
198412,9.5
198503,12.88
198506,12.38
198509,11.38
198512,11.38
198603,11.38
198606,9.88
198609,9.88
198612,10.88
198703,9.88
198706,8.88
198709,9.88
198712,8.38
198803,8.38
198806,8.88
198809,11.88
198812,12.88
198903,12.88
198906,13.75
198909,13.75
198912,14.88
199003,14.88
199006,14.88
199009,14.88
199012,13.88
199103,12.38
199106,11.38
199109,10.38
199112,10.38
199203,10.38
199206,9.88
199209,8.88
199212,6.88
199303,5.88
199306,5.88
199309,5.88
199312,5.38
199403,5.13
199406,5.13
199409,5.63
199412,6.13
199503,6.63
199506,6.63
199509,6.63
199512,6.38
199603,5.94
199606,5.69
199609,5.69
199612,5.94
199703,5.94
199706,6.5
199709,7.0
199712,7.25
199803,7.25
199806,7.5
199809,7.5
199812,6.25
199903,5.5
199906,5.0
199909,5.25
199912,5.5
200003,6.0
200006,6.0
200009,6.0
200012,6.0
200103,5.75
200106,5.25
200109,4.75
200112,4.0
200203,4.0
200206,4.0
200209,4.0
200212,4.0
200303,3.75
200306,3.75
200309,3.5
200312,3.75
200403,4.0
200406,4.5
200409,4.75
200412,4.75
200503,4.75
200506,4.75
200509,4.5
200512,4.5
200603,4.5
200606,4.5
200609,4.75
200612,5.0
200703,5.25
200706,5.5
200709,5.75
200712,5.5
200803,5.25
200806,5.0
200809,5.0
200812,2.0
200903,0.5
200906,0.5
200909,0.5
200912,0.5
201003,0.5
201006,0.5
201009,0.5
201012,0.5
201103,0.5
201106,0.5
201109,0.5
201112,0.5
201203,0.5
201206,0.5
201209,0.5
201212,0.5
201303,0.5
201306,0.5
201309,0.5
201312,0.5
201403,0.5
201406,0.5
201409,0.5
201412,0.5
201503,0.5
201506,0.5
201509,0.5
201512,0.5
201603,0.5
201606,0.5
201609,0.25
201612,0.25
201703,0.25
201706,0.25
201709,0.25
201712,0.5
201803,0.5
201806,0.5
201809,0.75
201812,0.75
201903,0.75
201906,0.75
201909,0.75
201912,0.75
202003,0.1
202006,0.1
202009,0.1
202012,0.1
202103,0.1
202106,0.1
202109,0.1
202112,0.25
202203,0.75
202206,1.25
202209,2.25
202212,3.5
202303,4.25
202306,5.0
202309,5.25
202312,5.25
202403,5.25
202406,5.25
202409,5.0
202412,4.75
202503,4.5
