Quarter;Quarterly GDP
198803;133283
198806;136630
198809;140801
198812;144969
198903;148623
198906;151262
198909;155370
198912;159376
199003;163056
199006;166719
199009;170068
199012;170954
199103;173192
199106;175822
199109;177280
199112;179590
199203;181438
199206;181889
199209;182558
199212;184989
199303;189580
199306;189802
199309;193552
199312;196921
199403;199796
199406;200691
199409;203292
199412;207015
199503;208657
199506;210748
199509;214616
199512;217824
199603;221433
199606;226187
199609;229912
199612;232461
199703;232749
199706;235998
199709;243388
199712;241270
199803;245958
199806;248081
199809;250560
199812;253902
199903;255903
199906;258404
199909;261604
199912;267337
200003;272305
200006;273916
200009;276174
200012;278357
200103;282889
200106;286728
200109;288166
200112;288352
200203;292486
200206;295516
200209;299230
200212;304207
200303;307485
200306;312948
200309;317463
200312;320438
200403;322778
200406;329732
200409;331592
200412;338535
200503;341254
200506;348491
200509;352001
200512;357003
200603;361213
200606;367042
200609;370883
200612;372900
200703;376958
200706;386144
200709;389291
200712;392244
200803;397800
200806;400685
200809;399994
200812;395121
200903;386874
200906;386553
200909;388596
200912;386779
201003;396176
201006;401223
201009;404365
201012;406789
201103;414806
201106;412364
201109;416115
201112;419305
201203;424540
201206;424939
201209;430964
201212;433272
201303;438283
201306;442095
201309;448800
201312;452183
201403;457683
201406;461549
201409;470624
201412;472658
201503;474680
201506;476591
201509;479924
201512;485256
201603;489683
201606;493710
201609;500801
201612;507451
201703;513814
201706;517656
201709;521257
201712;529755
201803;531131
201806;535707
201809;540205
201812;545261
201903;549060
201906;556104
201909;562999
201912;565758
202003;555891
202006;476160
202009;533806
202012;537629
202103;537992
202106;568521
202109;581805
202112;597082
202203;610346
202206;625467
202209;636553
202212;654062
202303;667103
202306;679433
202309;685035
202312;685749
202403;698800
202406;707433
202409;717089
202412;724724
