Year,Unemployment_rate
197103,3.8
197106,4.1
197109,4.2
197112,4.4
197203,4.5
197206,4.4
197209,4.3
197212,4.2
197303,3.9
197306,3.7
197309,3.6
197312,3.4
197403,3.6
197406,3.6
197409,3.7
197412,3.7
197503,4.0
197506,4.3
197509,4.7
197512,5.0
197603,5.3
197606,5.4
197609,5.5
197612,5.5
197703,5.5
197706,5.5
197709,5.7
197712,5.7
197803,5.6
197806,5.6
197809,5.5
197812,5.4
197903,5.4
197906,5.3
197909,5.4
197912,5.5
198003,5.8
198006,6.3
198009,7.1
198012,8.0
198103,8.9
198106,9.6
198109,9.9
198112,10.2
198203,10.4
198206,10.6
198209,10.8
198212,11.1
198303,11.3
198306,11.4
198309,11.5
198312,11.7
198403,11.8
198406,11.9
198409,11.7
198412,11.6
198503,11.5
198506,11.4
198509,11.3
198512,11.3
198603,11.3
198606,11.3
198609,11.4
198612,11.3
198703,11.1
198706,10.7
198709,10.2
198712,9.7
198803,9.2
198806,8.7
198809,8.4
198812,8.0
198903,7.6
198906,7.2
198909,7.1
198912,7.0
199003,6.9
199006,6.9
199009,7.1
199012,7.5
199103,8.0
199106,8.7
199109,9.2
199112,9.5
199203,9.7
199206,9.8
199209,9.9
199212,10.4
199303,10.6
199306,10.4
199309,10.2
199312,10.3
199403,9.9
199406,9.7
199409,9.4
199412,9.0
199503,8.9
199506,8.7
199509,8.6
199512,8.3
199603,8.2
199606,8.3
199609,8.1
199612,7.8
199703,7.3
199706,7.2
199709,6.8
199712,6.5
199803,6.4
199806,6.3
199809,6.2
199812,6.1
199903,6.2
199906,6.0
199909,5.9
199912,5.8
200003,5.8
200006,5.5
200009,5.3
200012,5.2
200103,5.1
200106,5.0
200109,5.1
200112,5.2
200203,5.2
200206,5.2
200209,5.3
200212,5.1
200303,5.2
200306,4.9
200309,5.0
200312,4.9
200403,4.8
200406,4.8
200409,4.7
200412,4.7
200503,4.7
200506,4.8
200509,4.7
200512,5.1
200603,5.2
200606,5.5
200609,5.5
200612,5.5
200703,5.5
200706,5.4
200709,5.3
200712,5.2
200803,5.2
200806,5.4
200809,5.9
200812,6.4
200903,7.1
200906,7.8
200909,7.8
200912,7.8
201003,8.0
201006,7.9
201009,7.8
201012,7.9
201103,7.8
201106,7.9
201109,8.3
201112,8.4
201203,8.2
201206,8.0
201209,7.8
201212,7.8
201303,7.8
201306,7.7
201309,7.6
201312,7.2
201403,6.7
201406,6.3
201409,6.0
201412,5.7
201503,5.5
201506,5.6
201509,5.3
201512,5.1
201603,5.1
201606,4.9
201609,4.8
201612,4.7
201703,4.6
201706,4.4
201709,4.3
201712,4.4
201803,4.2
201806,4.0
201809,4.1
201812,4.0
201903,3.8
201906,3.9
201909,3.9
201912,3.7
202003,4.1
202006,4.1
202009,5.0
202012,5.3
202103,4.9
202106,4.7
202109,4.4
202112,4.2
202203,3.8
202206,3.8
202209,3.7
202212,3.9
202303,4.0
202306,4.2
202309,4.1
202312,3.9
202403,4.3
202406,4.2
202409,4.3
202412,4.4
